24.58,25.21,25.581,24.864,24.947,25.218
26.525,28.169,29.412,27.453,27.858,28.58
25.955,29.409,29.602,26.564,27.055,28.275
27.035,30.339,30.489,27.565,27.928,28.951
25.946,26.436,27.04,26.302,26.357,26.737
27.753,31.628,32.14,29.045,29.776,30.896
26.035,28.165,28.502,26.584,26.918,27.12
24.271,25.612,26.088,24.598,24.818,25.378
26.363,28.46,28.697,27.135,27.459,27.688
26.739,29.161,29.617,27.192,27.637,28.501
25.551,28.232,28.166,26.109,26.653,26.421
26.391,27.98,28.334,26.716,26.96,27.14
27.009,29.253,29.381,27.245,27.568,28.367
26.706,30.008,30.488,27.368,27.96,28.9
25.309,26.6,27.032,25.686,25.912,26.363
25.187,27.386,27.798,25.697,26.055,25.894
27.906,31.73,31.747,28.879,29.489,30.918
27.487,32.329,32.531,28.254,29.041,30.692
25.273,27.393,27.761,25.742,26.136,26.629
25.461,27.977,28.447,25.823,26.316,27.444
23.804,25.604,25.987,23.969,24.278,24.79
25.307,26.458,26.838,25.719,25.965,25.796
25.041,25.576,25.954,25.372,25.482,25.605
25.769,28.128,28.387,26.276,26.629,27.1
26.508,27.986,28.319,26.96,27.231,27.189
26.252,29.003,29.439,27.084,27.613,28.22
26.4,27.942,28.288,26.839,27.128,27.265
26.935,29.508,29.83,27.509,27.959,28.647
28.093,29.152,30.599,30.128,30.661,31.062
21.929,23.674,24.001,22.065,22.347,23.388
26.908,29.483,29.743,27.095,27.513,28.525
22.884,23.922,24.389,23.023,23.18,23.64
25.492,26.182,26.527,25.588,25.697,25.652
25.128,27.182,27.489,25.42,25.829,26.421
27.708,32.954,33.033,29.116,29.897,31
25.96,27.49,27.864,26.427,26.758,27.051
26.094,27.105,27.279,26.242,26.585,27.161
26.339,27.909,28.256,27.016,27.418,27.621
26.64,28.668,28.861,27.144,27.454,27.691
27.164,32.379,32.433,27.738,28.386,29.236
26.055,28.506,28.922,26.464,26.966,27.503
25.581,27.105,27.453,25.984,26.3,26.602
25.989,28.925,29.096,26.6,27.198,27.92
26.274,29.678,29.932,26.985,27.461,27.948
24.797,26.983,26.971,25.13,25.448,25.748
27.514,33.148,33.268,27.981,28.702,30.848
24.102,25.683,26.139,24.395,24.735,25.028
25.353,26.121,26.527,25.436,25.579,25.807
25.952,28.482,29.085,26.541,27.176,27.379
27.334,29.991,30.967,28.541,29.18,30.084
25.482,26.061,26.513,25.8,25.996,26.047
24.008,27.51,27.827,24.481,25.058,25.748
27.682,30.291,31.25,28.828,29.443,30.582
27.282,30.822,30.838,27.954,28.662,30.029
26.349,28.566,28.884,26.741,27.121,27.336
25.231,26.778,27.357,25.663,25.97,26.052
22.871,23.236,23.792,22.941,23.01,23.43
26.125,27.557,28.145,26.592,26.912,27.387
27.216,30.565,30.776,27.523,28.244,29.989
26.884,29.801,30.078,27.563,28.146,29.007
27.107,30.537,30.852,27.439,28.042,29.719
26.503,29.278,29.701,27.179,27.792,28.732
27.692,31.599,31.573,29.366,30.009,29.978
25.021,26.002,26.282,25.13,25.245,25.58
25.583,26.245,26.619,25.914,26.103,26.164
26.786,27.885,28.302,27.486,27.722,27.89
27.676,36.761,37.076,27.965,28.777,31.61
23.261,24.112,24.506,23.427,23.679,23.987
24.091,24.79,25.511,24.367,24.579,25.212
26.507,29.616,29.781,27.037,27.582,28.412
26.615,30.734,30.545,27.035,27.627,28.644
25.549,26.068,26.545,25.646,25.806,25.911
26.22,26.804,27.117,26.479,26.638,26.854
25.849,26.912,27.258,26.438,26.666,26.771
24.828,27.142,27.499,25.18,25.597,26.354
27.014,29.504,29.812,27.905,28.337,28.911
24.548,24.686,25.198,24.523,24.492,24.847
27.053,29.434,29.646,27.812,28.178,28.735
26.703,32.753,33.208,28.163,29.172,30
26.952,29.832,30.205,27.95,28.454,29.494
28.583,33.309,33.252,31.049,31.742,32.832
26.331,28.257,28.594,26.655,27.105,27.867
23.619,24.429,25.128,23.691,23.877,24.457
23.124,24.799,25.421,23.187,23.385,24.61
25.208,26.824,27.545,25.288,25.724,26.771
25.211,26.042,26.442,25.519,25.677,25.773
26.343,27.411,27.772,26.745,26.891,27.076
27.252,29.093,29.258,27.962,28.329,28.581
25.984,26.371,26.662,26.149,26.354,26.479
25.721,26.884,27.188,25.932,26.122,26.304
26.872,28.877,29.089,27.186,27.555,28.258
26.129,29.534,29.131,26.861,27.346,27.255
27.047,30.451,30.563,27.207,27.73,29.086
26.015,27.218,27.599,26.128,26.372,26.411
25.465,29.3,29.136,26.165,26.692,27.024
23.033,23.201,23.506,23.055,22.959,23.159
25.877,26.269,26.705,26.055,26.287,26.487
25.772,27.168,27.468,25.803,26.053,26.767
25.934,27.552,28.08,26.398,26.677,26.784
25.259,26.224,26.703,25.378,25.694,26.092
